(PDH-CSV 4.0) (,\\DESKTOP-LLNG3C2\Process(_Total)\Private Bytes,\\DESKTOP-LLNG3C2\Processor(_Total)\% Processor Time
08/28/2025 16:26:06.641,3125657600, 
08/28/2025 16:26:07.647,3120390144,13.82354064
08/28/2025 16:26:08.659,3124404224,24.12698089
08/28/2025 16:26:09.645,3129794560,28.71873052
08/28/2025 16:26:10.644,3129208832,11.61552577
08/28/2025 16:26:11.651,3127259136,10.45275289
08/28/2025 16:26:12.642,3126935552,8.137943828
08/28/2025 16:26:13.650,3125755904,10.46131869
08/28/2025 16:26:14.658,3125911552,10.83958434
08/28/2025 16:26:15.648,3122524160,6.559875508
08/28/2025 16:26:16.640,3124023296,11.74376765
08/28/2025 16:26:17.648,3120365568,6.996234315
08/28/2025 16:26:18.639,3106729984,12.13396283
08/28/2025 16:26:19.647,3105865728,6.977076473
08/28/2025 16:26:20.654,3106496512,8.786983639
08/28/2025 16:26:21.646,3105484800,7.090125728
08/28/2025 16:26:22.653,3106234368,12.74971854
08/28/2025 16:26:23.644,3105349632,7.350784275
08/28/2025 16:26:24.651,3106062336,10.43907442
08/28/2025 16:26:25.644,3104583680,8.684600793
08/28/2025 16:26:26.653,3104555008,11.71549834
08/28/2025 16:26:27.659,3104927744,9.141571807
08/28/2025 16:26:28.651,3104464896,8.257873273
08/28/2025 16:26:29.656,3104272384,11.78520613
08/28/2025 16:26:30.647,3104464896,7.785182819
08/28/2025 16:26:31.654,3104808960,11.1557375
08/28/2025 16:26:32.645,3103916032,6.60020464
08/28/2025 16:26:33.653,3104874496,8.517319166
08/28/2025 16:26:34.656,3103891456,9.681450837
08/28/2025 16:26:35.643,3104382976,12.89443175
08/28/2025 16:26:36.647,3103784960,11.66474798
08/28/2025 16:26:37.651,3104632832,12.90041422
08/28/2025 16:26:38.642,3103940608,9.698105402
08/28/2025 16:26:39.649,3104309248,9.233959192
08/28/2025 16:26:40.656,3103436800,9.210131496
08/28/2025 16:26:41.663,3104100352,9.629031305
08/28/2025 16:26:42.638,3103412224,11.45216282
08/28/2025 16:26:43.645,3103981568,10.80331841
08/28/2025 16:26:44.653,3102646272,8.903804606
08/28/2025 16:26:45.645,3103678464,7.439832579
08/28/2025 16:26:46.653,3102961664,6.622340183
08/28/2025 16:26:47.643,3103674368,7.689876968
08/28/2025 16:26:48.648,3102547968,5.985827946
08/28/2025 16:26:49.638,3103453184,8.036307905
08/28/2025 16:26:50.647,3102863360,8.266015301
08/28/2025 16:26:51.654,3103752192,8.017558292
08/28/2025 16:26:52.662,3102904320,7.364676218
08/28/2025 16:26:53.652,3103629312,8.928307754
08/28/2025 16:26:54.645,3102961664,9.073075076
08/28/2025 16:26:55.637,3104096256,8.232084986
08/28/2025 16:26:56.645,3103330304,5.520450603
08/28/2025 16:26:57.652,3104190464,10.73059152
08/28/2025 16:26:58.644,3103309824,6.330772785
08/28/2025 16:26:59.650,3104083968,9.461823076
08/28/2025 16:27:00.640,3106029568,9.663634251
08/28/2025 16:27:01.649,3103240192,6.321718853
08/28/2025 16:27:02.639,3104366592,8.046843199
08/28/2025 16:27:03.646,3103318016,7.670319119
08/28/2025 16:27:04.637,3104083968,6.180409516
08/28/2025 16:27:05.645,3102478336,8.20723139
08/28/2025 16:27:06.652,3103383552,9.612652453
08/28/2025 16:27:07.643,3114901504,24.30440288
08/28/2025 16:27:08.645,3117277184,20.84586074
08/28/2025 16:27:09.656,3127386112,23.12148544
08/28/2025 16:27:10.655,3131301888,17.91293079
08/28/2025 16:27:11.646,3128516608,9.345280072
08/28/2025 16:27:12.651,3132755968,11.74163808
08/28/2025 16:27:13.642,3127656448,8.532880524
08/28/2025 16:27:14.648,3128410112,7.950061751
08/28/2025 16:27:15.638,3128676352,12.41099189
08/28/2025 16:27:16.660,3128393728,9.456022881
08/28/2025 16:27:17.651,3127898112,12.53144329
08/28/2025 16:27:18.641,3127582720,11.59323837
08/28/2025 16:27:19.649,3127672832,6.551737522
08/28/2025 16:27:20.654,3127746560,10.22267737
08/28/2025 16:27:21.661,3126964224,6.929304393
08/28/2025 16:27:22.652,3128410112,10.52864874
08/28/2025 16:27:23.642,3126767616,8.48084874
08/28/2025 16:27:24.647,3127341056,13.68819291
08/28/2025 16:27:25.640,3126161408,9.08762368
08/28/2025 16:27:26.647,3126988800,8.481663771
08/28/2025 16:27:27.638,3126083584,8.978750399
08/28/2025 16:27:28.645,3126956032,8.818758389
08/28/2025 16:27:29.651,3126706176,13.0369879
08/28/2025 16:27:30.643,3129585664,12.58058338
08/28/2025 16:27:31.650,3125125120,8.096597212
08/28/2025 16:27:32.654,3126001664,9.32611175
08/28/2025 16:27:33.644,3125399552,10.83318982
08/28/2025 16:27:34.652,3124346880,8.916513194
08/28/2025 16:27:35.644,3123183616,7.804557008
08/28/2025 16:27:36.635,3123789824,10.53527572
08/28/2025 16:27:37.642,3123298304,6.522592208
08/28/2025 16:27:38.648,3123232768,7.24700272
08/28/2025 16:27:39.639,3123724288,9.66525711
08/28/2025 16:27:40.653,3125039104,15.6700533
08/28/2025 16:27:41.644,3117555712,11.71757939
08/28/2025 16:27:42.649,3116556288,11.36481907
08/28/2025 16:27:43.656,3117309952,9.982787219
08/28/2025 16:27:44.658,3119407104,17.36514016
08/28/2025 16:27:45.647,3119239168,9.947435086
08/28/2025 16:27:46.655,3117809664,10.09183778
08/28/2025 16:27:47.661,3116384256,7.639636947
08/28/2025 16:27:48.645,3116412928,17.77023632
08/28/2025 16:27:49.662,3116179456,12.04641821
08/28/2025 16:27:50.636,3114881024,7.737752015
08/28/2025 16:27:51.641,3115810816,9.119484693
08/28/2025 16:27:52.647,3115352064,8.751641259
08/28/2025 16:27:53.640,3115716608,11.01755947
08/28/2025 16:27:54.647,3115044864,9.287564066
08/28/2025 16:27:55.638,3115175936,9.33257269
08/28/2025 16:27:56.646,3114512384,6.242325818
08/28/2025 16:27:57.654,3115274240,11.23430815
08/28/2025 16:27:58.662,3114647552,6.199828536
08/28/2025 16:27:59.650,3094958080,14.22017801
08/28/2025 16:28:00.638,3097600000,9.034545889
08/28/2025 16:28:01.645,3094990848,9.242610878
08/28/2025 16:28:02.652,3094208512,9.283899946
08/28/2025 16:28:03.641,3095060480,9.541634273
08/28/2025 16:28:04.648,3094319104,8.032031487
08/28/2025 16:28:05.641,3094339584,10.27296362
08/28/2025 16:28:06.647,3093843968,8.436641632
08/28/2025 16:28:07.648,3094806528,20.35527718
08/28/2025 16:28:08.650,3095171072,15.37914935
08/28/2025 16:28:09.655,3095359488,11.80624481
08/28/2025 16:28:10.647,3094564864,6.291486885
08/28/2025 16:28:11.638,3092676608,6.995492604
08/28/2025 16:28:12.645,3092197376,7.265954218
08/28/2025 16:28:13.652,3092963328,9.575277477
08/28/2025 16:28:14.657,3091922944,7.872879108
08/28/2025 16:28:15.646,3092893696,9.573830157
08/28/2025 16:28:16.654,3091886080,9.359588961
08/28/2025 16:28:17.644,3092393984,7.62520956
08/28/2025 16:28:18.650,3091972096,8.794080514
08/28/2025 16:28:19.641,3093286912,10.93093411
08/28/2025 16:28:20.648,3092209664,8.783466948
08/28/2025 16:28:21.656,3091869696,7.819595257
08/28/2025 16:28:22.646,3092676608,9.185855459
08/28/2025 16:28:23.638,3092635648,7.511398501
08/28/2025 16:28:24.646,3091505152,10.08496908
08/28/2025 16:28:25.654,3089670144,10.06825683
08/28/2025 16:28:26.660,3089936384,8.739195094
08/28/2025 16:28:27.650,3089244160,8.124498809
08/28/2025 16:28:28.657,3091771392,7.634929627
08/28/2025 16:28:29.646,3090694144,9.170302719
08/28/2025 16:28:30.637,3091660800,10.92618904
08/28/2025 16:28:31.645,3090087936,8.510809544
08/28/2025 16:28:32.652,3090870272,12.37127728
08/28/2025 16:28:33.658,3090042880,8.778898471
08/28/2025 16:28:34.647,3090718720,13.07759087
08/28/2025 16:28:35.650,3089694720,11.18294593
08/28/2025 16:28:36.651,3090776064,12.20543603
08/28/2025 16:28:37.642,3090022400,6.615052065
08/28/2025 16:28:38.638,3096588288,21.11700612
08/28/2025 16:28:39.638,3095601152,14.87901562
08/28/2025 16:28:40.652,3096178688,19.10714703
08/28/2025 16:28:41.655,3095408640,15.44792318
08/28/2025 16:28:42.659,3098619904,9.018506202
08/28/2025 16:28:43.650,3095273472,10.52444265
08/28/2025 16:28:44.657,3096084480,9.23342742
08/28/2025 16:28:45.649,3095097344,9.792218765
08/28/2025 16:28:46.641,3095646208,7.050968586
08/28/2025 16:28:47.649,3094704128,5.814724782
08/28/2025 16:28:48.656,3096510464,8.441715995
08/28/2025 16:28:49.663,3094925312,7.718580469
08/28/2025 16:28:50.640,3095715840,9.239029358
08/28/2025 16:28:51.648,3095027712,6.632657666
08/28/2025 16:28:52.638,3095605248,10.81255202
08/28/2025 16:28:53.662,3094589440,8.785029234
08/28/2025 16:28:54.652,3092729856,7.351963221
08/28/2025 16:28:55.643,3091603456,11.31503652
08/28/2025 16:28:56.649,3091656704,8.748158996
08/28/2025 16:28:57.640,3090989056,9.316456913
08/28/2025 16:28:58.649,3091652608,7.414036843
08/28/2025 16:28:59.640,3091611648,6.659935721
08/28/2025 16:29:00.647,3095076864,9.195745883
08/28/2025 16:29:01.652,3092979712,8.289988177
08/28/2025 16:29:02.644,3092254720,8.209557697
08/28/2025 16:29:03.650,3093168128,6.046946487
08/28/2025 16:29:04.640,3092484096,7.691909184
08/28/2025 16:29:05.646,3092295680,8.776025681
08/28/2025 16:29:06.639,3091509248,11.43218938
08/28/2025 16:29:07.647,3093000192,6.207069193
08/28/2025 16:29:08.655,3093950464,11.67012564
08/28/2025 16:29:09.647,3093434368,7.039721202
08/28/2025 16:29:10.654,3093164032,8.518699051
08/28/2025 16:29:11.647,3093618688,10.25757549
08/28/2025 16:29:12.654,3092869120,9.983743933
08/28/2025 16:29:13.646,3093622784,9.428864151
08/28/2025 16:29:14.635,3092742144,8.839162408
08/28/2025 16:29:15.642,3093233664,8.81705477
08/28/2025 16:29:16.651,3092455424,9.7437062
08/28/2025 16:29:17.640,3093393408,10.40056877
08/28/2025 16:29:18.650,3092590592,7.143787474
08/28/2025 16:29:19.641,3093540864,9.723540635
08/28/2025 16:29:20.634,3092021248,7.575511511
08/28/2025 16:29:21.656,3092709376,8.699296522
08/28/2025 16:29:22.633,3091869696,7.575785355
08/28/2025 16:29:23.640,3092570112,8.130843468
08/28/2025 16:29:24.648,3093987328,8.098868873
08/28/2025 16:29:25.653,3091644416,11.43282961
08/28/2025 16:29:26.646,3090403328,6.731807296
08/28/2025 16:29:27.652,3090927616,11.43244208
08/28/2025 16:29:28.644,3090235392,6.685751217
08/28/2025 16:29:29.650,3090771968,11.85752253
08/28/2025 16:29:30.642,3089735680,4.298391142
08/28/2025 16:29:31.647,3089551360,7.567276606
08/28/2025 16:29:32.639,3088322560,8.213733326
08/28/2025 16:29:33.663,3088982016,8.430623964
08/28/2025 16:29:34.638,3087888384,12.28900918
08/28/2025 16:29:35.661,3088596992,8.00192321
08/28/2025 16:29:36.637,3087917056,10.66892032
08/28/2025 16:29:37.644,3088035840,7.731191951
08/28/2025 16:29:38.651,3088052224,9.639628236
08/28/2025 16:29:39.642,3080327168,10.11248542
08/28/2025 16:29:40.650,3080900608,7.759049547
08/28/2025 16:29:41.641,3080171520,9.32010886
08/28/2025 16:29:42.647,3080749056,8.791215997
08/28/2025 16:29:43.654,3080183808,8.081076559
08/28/2025 16:29:44.646,3080744960,5.827430445
08/28/2025 16:29:45.637,3080200192,8.992686687
08/28/2025 16:29:46.661,3080724480,7.633344108
08/28/2025 16:29:47.637,3079577600,7.989965754
08/28/2025 16:29:48.645,3080208384,8.53342128
08/28/2025 16:29:49.638,3079766016,7.932502822
08/28/2025 16:29:50.662,3080445952,8.826771669
08/28/2025 16:29:51.655,3079786496,9.514025798
08/28/2025 16:29:52.647,3080433664,9.870348812
08/28/2025 16:29:53.655,3079753728,8.913133019
08/28/2025 16:29:54.646,3080527872,6.568014427
08/28/2025 16:29:55.655,3079516160,9.047063205
08/28/2025 16:29:56.661,3080830976,7.518166852
08/28/2025 16:29:57.653,3079684096,8.701012615
08/28/2025 16:29:58.645,3080372224,7.491312654
08/28/2025 16:29:59.638,3079782400,9.832918028
08/28/2025 16:30:00.658,3082973184,9.652144955
08/28/2025 16:30:01.650,3079606272,7.042411449
08/28/2025 16:30:02.640,3079700480,11.22315628
08/28/2025 16:30:03.662,3078885376,7.567277821
08/28/2025 16:30:04.654,3079962624,8.605614646
08/28/2025 16:30:05.646,3078307840,9.462433466
08/28/2025 16:30:06.660,3080208384,17.1400952
08/28/2025 16:30:07.669,3149729792,52.02546862
08/28/2025 16:30:08.636,3152650240,57.94836028
08/28/2025 16:30:09.647,3150381056,29.33973362
08/28/2025 16:30:10.643,3151396864,16.85849243
08/28/2025 16:30:11.648,3142918144,15.98769791
08/28/2025 16:30:12.642,3153981440,18.29576531
08/28/2025 16:30:13.657,3149762560,18.0586359
08/28/2025 16:30:14.643,3150938112,25.86436668
08/28/2025 16:30:15.657,3142705152,22.55969829
08/28/2025 16:30:16.634,3127906304,31.41930373
08/28/2025 16:30:17.646,3130617856,36.30541877
08/28/2025 16:30:18.644,3124723712,21.55807107
08/28/2025 16:30:19.645,3118194688,20.85934366
08/28/2025 16:30:20.640,3120742400,37.13217292
08/28/2025 16:30:21.647,3171192832,37.94707273
08/28/2025 16:30:22.635,3201744896,55.2910714
08/28/2025 16:30:23.639,3189665792,22.23014383
08/28/2025 16:30:24.651,3176660992,14.24783977
08/28/2025 16:30:25.640,3191037952,23.41400737
08/28/2025 16:30:26.644,3190005760,12.83506202
08/28/2025 16:30:27.646,3189997568,14.26822197
08/28/2025 16:30:28.648,3185844224,9.521159519
08/28/2025 16:30:29.646,3138203648,32.30791037
08/28/2025 16:30:30.649,3156443136,40.77224021
08/28/2025 16:30:31.656,3151233024,32.54583087
08/28/2025 16:30:32.648,3157311488,23.98260901
08/28/2025 16:30:33.645,3157680128,35.32227012
08/28/2025 16:30:34.638,3157221376,14.65002285
08/28/2025 16:30:35.638,3156815872,8.216382733
08/28/2025 16:30:36.652,3156357120,18.19269264
08/28/2025 16:30:37.644,3156004864,20.66818846
08/28/2025 16:30:38.643,3153473536,17.03718798
08/28/2025 16:30:39.638,3153727488,21.8964266
08/28/2025 16:30:40.637,3153190912,31.63014574
08/28/2025 16:30:41.637,3143655424,21.79642104
08/28/2025 16:30:42.648,3148599296,13.45594829
08/28/2025 16:30:43.649,3144122368,19.2223124
08/28/2025 16:30:44.638,3171696640,39.58135929
08/28/2025 16:30:45.658,3163373568,23.39035412
08/28/2025 16:30:46.657,3160948736,22.15045159
08/28/2025 16:30:47.644,3159638016,27.57789129
08/28/2025 16:30:48.646,3159916544,26.70350779
08/28/2025 16:30:49.655,3154796544,19.56366979
08/28/2025 16:30:50.640,3153694720,17.85478633
08/28/2025 16:30:51.645,3162148864,23.4306966
08/28/2025 16:30:52.641,3168083968,20.73885028
08/28/2025 16:30:53.660,3167911936,15.339547
08/28/2025 16:30:54.639,3167350784,17.38566854
08/28/2025 16:30:55.655,3164991488,11.9705365
08/28/2025 16:30:56.644,3160940544,11.88229795
08/28/2025 16:30:57.650,3160510464,8.002311814
08/28/2025 16:30:58.644,3152617472,6.825009647
08/28/2025 16:30:59.637,3150299136,8.369954731
08/28/2025 16:31:00.642,3140255744,13.68729947
08/28/2025 16:31:01.649,3137839104,8.123840608
08/28/2025 16:31:02.641,3138277376,7.406567216
08/28/2025 16:31:03.634,3137794048,10.71304898
08/28/2025 16:31:04.656,3119325184,12.11995595
08/28/2025 16:31:05.645,3117813760,9.184983397
08/28/2025 16:31:06.651,3118546944,8.738760467
08/28/2025 16:31:07.658,3118227456,8.079341701
08/28/2025 16:31:08.651,3118968832,7.923460415
08/28/2025 16:31:09.659,3118202880,6.960680839
08/28/2025 16:31:10.651,3118239744,7.861748447
08/28/2025 16:31:11.642,3117101056,10.17873486
08/28/2025 16:31:12.634,3118309376,10.95307108
08/28/2025 16:31:13.658,3117510656,8.42646484
08/28/2025 16:31:14.647,3116584960,10.00782686
08/28/2025 16:31:15.654,3114086400,8.857731997
08/28/2025 16:31:16.660,3114029056,9.133180872
08/28/2025 16:31:17.652,3113590784,9.755151948
08/28/2025 16:31:18.642,3114270720,9.286836902
08/28/2025 16:31:19.633,3113496576,9.687338273
08/28/2025 16:31:20.639,3114184704,9.917459045
08/28/2025 16:31:21.646,3113275392,8.872578489
08/28/2025 16:31:22.639,3104260096,7.522970697
08/28/2025 16:31:23.646,3103928320,12.39735513
08/28/2025 16:31:24.656,3103686656,10.63931727
08/28/2025 16:31:25.648,3104505856,9.799151042
08/28/2025 16:31:26.656,3103748096,8.930790306
08/28/2025 16:31:27.647,3104440320,9.367411136
08/28/2025 16:31:28.640,3103666176,8.691620697
08/28/2025 16:31:29.646,3104333824,10.3541906
08/28/2025 16:31:30.651,3104980992,12.92304597
08/28/2025 16:31:31.643,3105128448,8.255450379
08/28/2025 16:31:32.650,3104505856,9.650176882
08/28/2025 16:31:33.658,3105181696,9.265989213
08/28/2025 16:31:34.651,3104399360,9.956481663
08/28/2025 16:31:35.656,3105153024,9.432237585
08/28/2025 16:31:36.647,3104288768,7.341638147
08/28/2025 16:31:37.654,3105005568,11.57102288
08/28/2025 16:31:38.648,3104342016,6.06361637
08/28/2025 16:31:39.639,3105067008,13.65150373
08/28/2025 16:31:40.663,3104219136,7.292495108
08/28/2025 16:31:41.636,3104784384,10.48212363
08/28/2025 16:31:42.642,3104075776,7.268201718
08/28/2025 16:31:43.649,3104882688,8.818839026
08/28/2025 16:31:44.640,3103748096,10.13622969
08/28/2025 16:31:45.648,3103465472,7.768090723
08/28/2025 16:31:46.638,3102244864,8.446713765
08/28/2025 16:31:47.647,3102490624,8.215549323
08/28/2025 16:31:48.653,3102011392,9.13547521
08/28/2025 16:31:49.660,3102588928,8.085739132
08/28/2025 16:31:50.652,3101790208,9.449010552
08/28/2025 16:31:51.658,3102412800,8.926400101
08/28/2025 16:31:52.648,3101237248,8.264820862
08/28/2025 16:31:53.639,3102019584,10.90709582
08/28/2025 16:31:54.645,3101954048,8.758053519
08/28/2025 16:31:55.636,3102248960,10.94231841
08/28/2025 16:31:56.639,3102052352,12.74225368
08/28/2025 16:31:57.647,3101962240,9.336744446
08/28/2025 16:31:58.656,3100925952,9.004851852
08/28/2025 16:31:59.647,3101900800,7.015708306
08/28/2025 16:32:00.662,3107147776,23.79043879
08/28/2025 16:32:01.637,3102662656,12.27074063
08/28/2025 16:32:02.660,3103145984,12.128001
08/28/2025 16:32:03.637,3103002624,6.825241317
08/28/2025 16:32:04.660,3103690752,10.69345406
08/28/2025 16:32:05.653,3102146560,9.07148994
08/28/2025 16:32:06.646,3102801920,10.32390928
08/28/2025 16:32:07.638,3102666752,10.22639429
08/28/2025 16:32:08.646,3103432704,6.635694861
08/28/2025 16:32:09.637,3102560256,12.05851769
08/28/2025 16:32:10.646,3103379456,8.634868413
08/28/2025 16:32:11.654,3102347264,7.756056784
08/28/2025 16:32:12.660,3105542144,8.367126295
08/28/2025 16:32:13.651,3101331456,9.779618812
08/28/2025 16:32:14.643,3102261248,8.607568614
08/28/2025 16:32:15.651,3101229056,8.935677833
08/28/2025 16:32:16.643,3101900800,9.104785432
08/28/2025 16:32:17.652,3101241344,7.811158381
08/28/2025 16:32:18.657,3102298112,10.18640567
08/28/2025 16:32:19.647,3103809536,8.53040636
08/28/2025 16:32:20.656,3102134272,10.12113836
08/28/2025 16:32:21.647,3101270016,7.039608715
08/28/2025 16:32:22.654,3102052352,8.846002681
08/28/2025 16:32:23.644,3101450240,6.869629503
08/28/2025 16:32:24.651,3101691904,9.246602714
08/28/2025 16:32:25.643,3101388800,7.382304939
08/28/2025 16:32:26.650,3102183424,7.282034343
08/28/2025 16:32:27.657,3101376512,9.279965414
08/28/2025 16:32:28.648,3102089216,6.618198199
08/28/2025 16:32:29.640,3101401088,8.992549006
08/28/2025 16:32:30.647,3102777344,8.077488926
08/28/2025 16:32:31.657,3101552640,5.992251941
08/28/2025 16:32:32.649,3102396416,8.621280911
08/28/2025 16:32:33.656,3101556736,5.434210388
08/28/2025 16:32:34.662,3102392320,9.474511207
08/28/2025 16:32:35.650,3101286400,10.69109024
08/28/2025 16:32:36.655,3102068736,12.09107944
08/28/2025 16:32:37.646,3101544448,8.560050595
08/28/2025 16:32:38.654,3103178752,8.530734963
08/28/2025 16:32:39.645,3102236672,8.223877158
08/28/2025 16:32:40.636,3102687232,8.91343229
08/28/2025 16:32:41.644,3101667328,9.736769161
08/28/2025 16:32:42.651,3102740480,11.18071991
08/28/2025 16:32:43.643,3101868032,8.180602173
08/28/2025 16:32:44.652,3102351360,9.024321063
08/28/2025 16:32:45.644,3102195712,8.06626179
08/28/2025 16:32:46.652,3101732864,7.935050031
08/28/2025 16:32:47.644,3102134272,9.072387885
08/28/2025 16:32:48.651,3101343744,10.05459153
08/28/2025 16:32:49.642,3102007296,6.957598502
08/28/2025 16:32:50.650,3101392896,8.547803099
08/28/2025 16:32:51.658,3101724672,9.247233446
08/28/2025 16:32:52.646,3100999680,9.073294755
