procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 KST
 1  0      0 31472960   5504 6110184    0    0     0    48  877 1404  0  0 100  0  0 2025-08-25 13:14:08
 0  0      0 31472960   5504 6110184    0    0     0     0  863 1382  0  0 100  0  0 2025-08-25 13:14:09
 0  0      0 31472960   5504 6110184    0    0     0     0  856 1445  0  0 100  0  0 2025-08-25 13:14:10
 0  0      0 31472960   5504 6110184    0    0     0    36  870 1414  0  0 100  0  0 2025-08-25 13:14:11
 0  0      0 31472960   5504 6110184    0    0     0     0  883 1401  0  0 100  0  0 2025-08-25 13:14:12
 0  0      0 31472960   5504 6110184    0    0     0    40  908 1412  0  0 100  0  0 2025-08-25 13:14:13
 0  0      0 31472960   5504 6110184    0    0     0     0  800 1332  0  0 100  0  0 2025-08-25 13:14:14
 0  0      0 31472960   5504 6110184    0    0     0     0  833 1355  0  0 100  0  0 2025-08-25 13:14:15
 0  0      0 31472960   5504 6110184    0    0     0     0  863 1408  0  0 100  0  0 2025-08-25 13:14:16
 0  0      0 31472708   5504 6110184    0    0     0     4  909 1419  0  0 100  0  0 2025-08-25 13:14:17
 0  0      0 31472708   5504 6110184    0    0     0    60  843 1366  0  0 100  0  0 2025-08-25 13:14:18
 0  0      0 31472708   5504 6110184    0    0     0     0  866 1356  0  0 100  0  0 2025-08-25 13:14:19
 0  0      0 31472708   5504 6110184    0    0     0     0  820 1374  0  0 100  0  0 2025-08-25 13:14:20
 0  0      0 31472708   5504 6110184    0    0     0     0  847 1374  0  0 100  0  0 2025-08-25 13:14:21
 0  0      0 31472708   5504 6110184    0    0     0     0  928 1411  0  0 100  0  0 2025-08-25 13:14:22
 0  0      0 31472708   5504 6110184    0    0     0    52 2336 2610  0  0 100  0  0 2025-08-25 13:14:23
 0  0      0 31472708   5504 6110184    0    0     0     0 2579 3154  0  0 100  0  0 2025-08-25 13:14:24
 0  0      0 31472708   5504 6110184    0    0     0     0  835 1354  0  0 100  0  0 2025-08-25 13:14:25
 0  0      0 31472708   5504 6110184    0    0     0     0  874 1367  0  0 100  0  0 2025-08-25 13:14:26
 0  0      0 31472708   5504 6110184    0    0     0     0  841 1344  0  0 100  0  0 2025-08-25 13:14:27
 0  0      0 31472708   5504 6110188    0    0     0    64  869 1412  0  0 100  0  0 2025-08-25 13:14:28
 0  0      0 31472708   5504 6110188    0    0     0     8  896 1375  0  0 100  0  0 2025-08-25 13:14:29
 0  0      0 31472708   5504 6110188    0    0     0     0  804 1337  0  0 100  0  0 2025-08-25 13:14:30
 0  0      0 31472708   5504 6110188    0    0     0     0  976 1379  0  0 100  0  0 2025-08-25 13:14:31
 0  0      0 31472708   5504 6110188    0    0     0     0  902 1390  0  0 100  0  0 2025-08-25 13:14:32
 0  0      0 31472708   5504 6110188    0    0     0    44  899 1376  0  0 100  0  0 2025-08-25 13:14:33
 0  0      0 31472708   5504 6110188    0    0     0     0  830 1358  0  0 100  0  0 2025-08-25 13:14:34
 0  0      0 31472708   5504 6110188    0    0     0     8  887 1363  0  0 100  0  0 2025-08-25 13:14:35
 1  0      0 31472708   5504 6110188    0    0     0     0  865 1395  0  0 100  0  0 2025-08-25 13:14:36
 0  0      0 31472708   5504 6110188    0    0     0     0  850 1363  0  0 100  0  0 2025-08-25 13:14:37
 0  0      0 31470944   5504 6110188    0    0     0    44  939 1415  0  0 100  0  0 2025-08-25 13:14:38
